# 2THETA  Cnt1_D1
  -0.0946     279474
  -0.0896     324909
  -0.0846     393969
  -0.0796     465150
  -0.0746     548346
  -0.0696     673140
  -0.0646     826205
  -0.0596    1067820
  -0.0546    1405140
  -0.0496    1985600
  -0.0446    3521650
  -0.0396    4953300
  -0.0346    9384100
  -0.0296   15455600
  -0.0246   22091300
  -0.0196   31172400
  -0.0146   39939900
  -0.0096   47819200
  -0.0046   54246000
   0.0004   56555400
   0.0054   58405100
   0.0104   54496800
   0.0154   50170500
   0.0204   41016300
   0.0254   34004300
   0.0304   26062300
   0.0354   19165300
   0.0404   13605900
   0.0454    9091500
   0.0504    5569850
   0.0554    3699300
   0.0604    2027300
   0.0654    1233910
   0.0704     837614
   0.0754     616801
   0.0804     466665
   0.0854     384075
   0.0904     321173
   0.0954     281089
   0.1004     244742
   0.1054     219601
   0.1104     194461
