#THETA  Cnt1_D1
  -0.5020          3
  -0.4920          1
  -0.4820          2
  -0.4720          3
  -0.4620          3
  -0.4520          2
  -0.4420          3
  -0.4320          6
  -0.4220          6
  -0.4120          9
  -0.4020         12
  -0.3920         16
  -0.3820         26
  -0.3720         28
  -0.3620         28
  -0.3520         33
  -0.3420         61
  -0.3320         49
  -0.3220         74
  -0.3120         99
  -0.3020         94
  -0.2920        129
  -0.2820        119
  -0.2720        152
  -0.2620        168
  -0.2520        221
  -0.2420        229
  -0.2320        268
  -0.2220        255
  -0.2120        295
  -0.2020        316
  -0.1920        355
  -0.1820        394
  -0.1720        465
  -0.1620        453
  -0.1520        507
  -0.1420        533
  -0.1320        579
  -0.1220        597
  -0.1120        665
  -0.1020        729
  -0.0920        700
  -0.0820        735
  -0.0720        878
  -0.0620        827
  -0.0520        901
  -0.0420        908
  -0.0320       1031
  -0.0220       1003
  -0.0120       1069
  -0.0020       1103
   0.0080       1194
   0.0180       1162
   0.0280       1058
   0.0380        988
   0.0480       1001
   0.0580        944
   0.0680        951
   0.0780        859
   0.0880        844
   0.0980        839
   0.1080        699
   0.1180        677
   0.1280        652
   0.1380        623
   0.1480        593
   0.1580        540
   0.1680        522
   0.1780        440
   0.1880        436
   0.1980        361
   0.2080        363
   0.2180        304
   0.2280        294
   0.2380        225
   0.2480        219
   0.2580        218
   0.2680        177
   0.2780        137
   0.2880        100
   0.2980         74
   0.3080         71
   0.3180         54
   0.3280         36
   0.3380         39
   0.3480         20
   0.3580         22
   0.3680          9
   0.3780          3
   0.3880          2
   0.3980          4
   0.4080          2
   0.4180          6
   0.4280          7
   0.4380          8
   0.4480          6
   0.4580          6
   0.4680          8
   0.4780          3
   0.4880          3
   0.4980         10
