#Z  Cnt1_D1
 -10.5000     200922
 -10.4600     195773
 -10.4200     194763
 -10.3800     190616
 -10.3400     192218
 -10.3000     191518
 -10.2600     186884
 -10.2200     191729
 -10.1800     188678
 -10.1400     191048
 -10.1000     192324
 -10.0600     189829
 -10.0200     189301
  -9.9800     187814
  -9.9400     191403
  -9.9000     188064
  -9.8600     191575
  -9.8200     189877
  -9.7800     199376
  -9.7400     213211
  -9.7000     217164
  -9.6600     210064
  -9.6200     197649
  -9.5800     192074
  -9.5400     192247
  -9.5000     167195
  -9.4600      86505
  -9.4200      13381
  -9.3800        216
  -9.3400        155
  -9.3000        183
  -9.2600        184
  -9.2200        266
  -9.1800        277
  -9.1400        245
  -9.1000        226
  -9.0600        192
  -9.0200        214
  -8.9800        232
  -8.9400        121
  -8.9000         31
  -8.8600          5
  -8.8200          3
  -8.7800          2
  -8.7400          4
  -8.7000          1
  -8.6600          0
  -8.6200          2
  -8.5800          1
  -8.5400          2
  -8.5000          5
