#t[s];p[mbar]p1 p2 p3
0,998,998,998
10,652,646,654
20,487,482,481
30,352,359,361
40,262,268,269
50,200,197,198
60,145,144,145
70,106,105,106
80,78,77,78
90,57,56,57
100,41,41,41
110,30,29.8,3.0
120,21.7,21.6,3.1
130,15.4,15.8,16.0
140,11.7,11.5,11.7
150,8.5,8.4,8.4
160,6.2,6.2,6.2
170,4.6,4.5,4.6
180,3.6,3.6,3.6
190,2.9,2.8,2.9
200,2.3,2.3,2.3
210,1.9,1.9,1.9
220,1.6,1.6,1.7
230,1.4,1.4,1.4
240,1.2,1.2,1.2
250,1.1,1.1,1.1
260,0.93,0.94,0.95
270,0.84,0.86,0.86
280,0.76,0.77,0.77
290,0.69,0.70,0.69
300,0.64,0.64,0.64
310,0.60,0.60,0.60
320,0.55,0.55,0.56
330,0.52,0.51,0.52
340,0.48,0.48,0.48
350,0.45,0.45,0.45
360,0.42,0.40,0.40
370,0.40,0.38,0.37
380,0.38,0.36,0.35
390,0.36,0.34,0.34
400,0.33,0.34,0.33
410,0.32,0.31,0.32
420,0.32,0.31,0.32
430,0.31,0.31,0.31
440,0.3,0.29,0.3
450,0.28,0.28,0.28
460,0.26,0.27,0.27
470,0.25,0.26,0.26
480,0.24,0.25,0.25
490,0.23,0.23,0.13
500,0.22,0.22,0.22
510,0.21,0.21,0.21
520,0.21,0.20,0.20
530,0.19,0.19,0.20
540,0.18,0.18,0.19
550,0.18,0.18,0.19
560,0.17,0.17,0.18
570,0.17,0.17,0.17
580,0.16,0.16,0.16
590,0.16,0.15,0.16
600,0.15,0.15,0.15
